"","naMean_EOO","naMean_AOO","naZero_EOO","naZero_AOO","naNA_EOO","naNA_AOO"
"954",67529,260,65131.8,260,60189.5,252
"955",60461.1,252,50488,260,42813,252
"956",58521.3,260,60405.1,264,55411,256
"957",64637.9,260,62276.4,264,58885.4,256
"958",54335.8,264,64719.9,264,59246.5,256
"959",60476,252,53140.2,260,48859.5,252
"960",65983.2,260,60171.9,260,55567.2,252
"961",60700.7,260,67077.5,256,57768.9,248
"962",65917.2,260,58736.1,264,52908.8,256
"963",55494.8,260,58355.5,264,48080,256
"964",62446.2,264,59677.7,260,52675.7,252
"965",55903.9,260,65163.4,260,61353.6,252
"966",67309.8,256,61396.1,252,54354.2,244
"967",55230.7,264,58446.3,260,52353.6,252
"968",50415.5,260,60303.6,264,52924.2,256
"969",58186.4,256,66719.3,264,61978.8,256
"970",54529,260,62488.8,260,55253.6,252
"971",57258.1,260,64664.9,252,52817.5,244
"972",57349.4,256,58686.9,264,50565.8,256
"973",48387.7,256,54017.7,260,49268.5,252
"974",54334.4,256,58415.1,264,50016.2,256
"975",54521.6,260,63852.3,260,56783.9,252
"976",60014.8,264,53898.9,264,48235.2,256
"977",60010.3,260,58808.5,264,54679.2,256
"978",56437.4,256,63158.2,256,55573.7,248
"979",58803.2,260,60251,260,51910.1,252
"980",53268.6,260,62129.3,260,58244.7,252
"981",55521,260,60234.4,260,55797.5,252
"982",67398.5,264,50512.4,256,46629,248
"983",63314.2,264,63741.3,260,53913.9,252
"984",62535.8,264,52227.7,256,44153.1,248
"985",65748.7,260,63606.2,264,57529.1,256
"986",63234.9,252,61432.4,260,53752.5,252
"987",55982.7,256,61966.4,264,58447.7,256
"988",63092.9,260,62841.8,264,53636.2,256
"989",69801.4,252,59427.8,256,54520.5,248
"990",48031.3,260,62112.2,256,51749.5,248
"991",59872.8,260,60568.3,260,54311.1,252
"992",54529.7,256,63469.2,264,56377.6,256
"993",59372.5,256,63791.5,264,57908.3,256
"994",62804.9,260,65341.5,252,54669.4,244
"995",66212.8,260,62044.2,264,58846.5,256
"996",56997.4,264,52728.6,256,45898.5,248
"997",61051,260,58359.1,260,48864.5,252
"998",55402.5,256,61559.3,260,55757.1,252
"999",52368.8,260,52186.8,260,44707.8,252
"1000",62968,248,54539.1,264,48591.5,256
